timestamp,transaction_type,token,amount
1633724429,DEPOSIT,BTC,1234
1633724429,WITHDRAWAL,ETH,344
1634242829,DEPOSIT,SOL,5430
1634242829,WITHDRAWAL,XRP,45
1635132000,DEPOSIT,SAND,344
1635132000,WITHDRAWAL,BTC,6644
1635736800,DEPOSIT,BNB,443
1635736800,WITHDRAWAL,XRP,655
1636082400,DEPOSIT,SOL,3434
1636082400,DEPOSIT,DOT,5667
1636082400,WITHDRAWAL,ETH,89
1636514400,DEPOSIT,DOT,9866
1636514400,WITHDRAWAL,BNB,66
1636600800,WITHDRAWAL,XRP,644
1636687200,DEPOSIT,SOL,4677
1636687200,WITHDRAWAL,SAND,3556
1636773600,DEPOSIT,BTC,77
1636860000,DEPOSIT,XRP,789
1636946400,WITHDRAWAL,ETH,223
1636946400,DEPOSIT,XRP,5567
1637032800,WITHDRAWAL,ETH,100
1637032800,WITHDRAWAL,BTC,200
1637032800,DEPOSIT,SOL,4560
1637032800,DEPOSIT,BTC,1210
